area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,female,15,plhiv,2018.75,48850.7875074811,2430.72503482838,48774.1288359395,44326.3199388478,53880.4393325846
MWI,female,16,plhiv,2018.75,69355.0030852338,2924.44243563059,69296.3963409298,63873.0922289643,75195.4239770368
MWI,female,17,plhiv,2018.75,86223.62068606,3140.73742326249,86144.7496626287,80392.8161850059,92454.7961465071
MWI,female,18,plhiv,2018.75,94208.3439954242,3122.47758809508,94141.0995082263,88212.5080139511,100414.32449458
MWI,female,19,plhiv,2018.75,86538.1266771712,2987.06707711734,86492.2586277271,80720.0295420961,92308.8553218861
MWI,female,20,plhiv,2018.75,64780.1688905465,2754.22241457394,64737.0497306066,59400.6873817017,70243.8705032333
MWI,female,29,plhiv,2018.75,106486.209712072,6829.04646830974,106373.734195403,93554.4240300636,119516.459180403
MWI,male,11,num_art_reside,2018.75,3624.98248484292,1.95626838523146E-13,3624.98248484292,3624.98248484292,3624.98248484292
MWI,male,12,num_art_reside,2018.75,7783.9129453112,3.58128115150626E-13,7783.9129453112,7783.9129453112,7783.9129453112
MWI,male,13,num_art_reside,2018.75,10490.392229053,2.9335212435195E-13,10490.392229053,10490.392229053,10490.392229053
MWI,female,11,num_art_reside,2018.75,3909.34939058595,1.10476161965427E-13,3909.34939058595,3909.34939058594,3909.34939058595
MWI,female,12,num_art_reside,2018.75,8182.86211392856,1.61872749384129E-13,8182.86211392856,8182.86211392856,8182.86211392857
MWI,female,13,num_art_reside,2018.75,11177.5491952955,1.08955227510943E-12,11177.5491952955,11177.5491952955,11177.5491952955
MWI,male,14,num_art_reside,2018.75,5888.93223343942,923.987594577925,5866.03369498469,4216.92604812116,7742.39478765532
MWI,male,15,num_art_reside,2018.75,8955.45419878854,1378.44610134328,8927.01010423424,6371.69844659033,11771.5984107446
MWI,male,16,num_art_reside,2018.75,16955.8057435275,1593.1283285292,16869.9603314774,13968.1722692503,20113.1957636008
MWI,male,17,num_art_reside,2018.75,27160.7783327424,2247.64932084068,27193.0326128556,22828.7871166503,31680.3265276373
MWI,male,18,num_art_reside,2018.75,44075.2216120629,2384.40805311071,44044.054305958,39628.5908469331,48780.5633774574
MWI,male,19,num_art_reside,2018.75,42243.2925153066,2304.97361239783,42106.5638748287,37917.3483425979,46763.8561725858
MWI,male,20,num_art_reside,2018.75,39987.3527084827,2235.84698861947,39972.0977447929,35699.395728995,44472.6206079697
MWI,male,29,num_art_reside,2018.75,81670.0081405241,5153.17614936485,81590.0470227944,71973.0131535792,92170.9678960579
MWI,female,14,num_art_reside,2018.75,19125.8984749849,1317.46884083019,19115.5531519779,16569.5162368862,21719.9009904395
MWI,female,15,num_art_reside,2018.75,31260.1094787268,2067.54419345745,31236.3501637179,27295.3643429226,35362.3508225
MWI,female,16,num_art_reside,2018.75,54925.7770308019,2374.28985081685,54929.7387788545,50014.0840696724,59566.5636289667
MWI,female,17,num_art_reside,2018.75,68277.3941383032,2545.9383261312,68321.1345248923,63430.8243859144,73242.8595660667
MWI,female,18,num_art_reside,2018.75,81270.5853464975,2722.92234856842,81255.8977681768,75943.6618481222,86826.2671621318
MWI,female,19,num_art_reside,2018.75,74790.4985583907,2586.2002083023,74776.564692557,69837.9380306844,79796.9797908446
MWI,female,20,num_art_reside,2018.75,56094.2398962175,2389.51874043061,56061.5718354721,51570.0230897727,60929.0271556875
MWI,female,29,num_art_reside,2018.75,88722.9715912033,5790.18965415711,88593.2885294485,77599.3728056711,100150.355537932
MWI,male,11,num_art_facility,2018.75,3624.98248484292,1.95626838523146E-13,3624.98248484292,3624.98248484292,3624.98248484292
MWI,male,12,num_art_facility,2018.75,7783.9129453112,3.58128115150626E-13,7783.9129453112,7783.9129453112,7783.9129453112
MWI,male,13,num_art_facility,2018.75,10490.392229053,2.9335212435195E-13,10490.392229053,10490.392229053,10490.392229053
MWI,female,11,num_art_facility,2018.75,3909.34939058595,1.10476161965427E-13,3909.34939058595,3909.34939058594,3909.34939058595
MWI,female,12,num_art_facility,2018.75,8182.86211392856,1.61872749384129E-13,8182.86211392856,8182.86211392856,8182.86211392857
MWI,female,13,num_art_facility,2018.75,11177.5491952955,1.08955227510943E-12,11177.5491952955,11177.5491952955,11177.5491952955
MWI,male,14,num_art_facility,2018.75,5888.93223343942,923.987594577925,5866.03369498469,4216.92604812116,7742.39478765532
MWI,male,15,num_art_facility,2018.75,8955.45419878854,1378.44610134328,8927.01010423424,6371.69844659033,11771.5984107446
